Round,Accuracy
1,0.78025
2,0.95125
3,0.95325
4,0.95925
5,0.958
6,0.96025
7,0.96
8,0.957
9,0.9685
10,0.96575
11,0.96325
12,0.96725
13,0.968
14,0.96525
15,0.9675
16,0.97125
17,0.963
18,0.9665
19,0.9685
20,0.96925
